name,theme,overall,C,PF,SF,SG,PG,position,height,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Bradley Beal,'20 NBA,85,0,0,0,1,0,SG,77,83,81,80,98,79,96,87,28,73,82,42,53,53,79,74,81,85,54,92,76,85,74,83,75,70,80,43,72,73,75,73,63,67,54,54,67,63,38,52,98,88
Mike Conley,'20 NBA,85,0,0,0,0,1,PG,73,88,80,79,98,83,93,85,25,28,70,27,25,38,82,81,82,93,38,92,83,83,81,87,91,76,91,29,83,78,87,83,78,76,57,45,84,78,32,47,98,87
Kristaps Porzingis,'20 NBA,85,0,1,0,0,0,PF,87,81,79,80,98,78,91,74,86,71,81,84,81,81,85,62,61,74,69,90,81,80,52,61,46,28,36,70,52,83,72,58,56,75,34,85,88,56,43,66,95,91
Victor Oladipo,'20 NBA,85,0,0,0,1,0,SG,76,57,80,70,98,66,88,79,28,78,68,33,34,46,77,74,75,81,59,83,78,84,73,72,68,65,75,41,84,82,90,84,83,84,73,40,92,83,28,61,95,88
Luka Doncic,'20 NBA,85,0,0,1,0,0,SF,79,87,76,81,96,68,95,82,37,60,82,47,28,49,95,78,78,69,57,95,85,85,78,83,79,73,83,45,66,65,68,72,65,68,43,44,74,47,41,77,98,94
LaMarcus Aldridge,'20 NBA,85,0,1,0,0,0,PF,83,85,80,57,95,80,93,73,65,64,79,85,85,85,87,38,41,57,82,90,85,84,33,37,50,38,65,69,43,78,73,47,65,76,30,68,82,65,74,77,95,88
D'Angelo Russell,'20 NBA,85,0,0,0,1,0,SG,77,88,87,80,97,76,96,84,25,43,76,58,33,53,79,79,79,69,52,86,63,82,79,84,77,86,86,38,62,57,64,73,77,70,54,38,70,33,34,50,70,87
C.J. McCollum,'20 NBA,85,0,0,0,1,0,SG,75,80,88,84,95,81,88,78,28,38,67,30,36,44,89,80,82,78,58,96,93,80,80,84,73,51,78,33,66,67,68,74,48,54,36,45,54,58,37,47,98,87
Draymond Green,'20 NBA,84,0,1,0,0,0,PF,79,69,68,69,90,65,26,71,51,66,40,62,64,60,94,69,70,62,86,89,94,88,65,73,77,69,88,86,78,91,95,76,88,96,62,63,95,91,36,74,95,88
John Wall,'20 NBA,84,0,0,0,0,1,PG,76,64,72,66,96,64,89,87,25,79,73,36,29,51,84,85,84,82,54,89,89,84,85,84,79,80,90,32,79,76,86,81,86,76,57,56,86,79,26,44,95,88
De'Aaron Fox,'20 NBA,84,0,0,0,0,1,PG,75,73,74,80,94,72,94,88,26,59,78,26,26,29,89,89,89,83,45,95,94,80,89,87,85,77,86,33,78,76,77,85,76,64,72,54,64,69,32,51,98,88
Nikola Vucevic,'20 NBA,84,1,0,0,0,0,C,84,88,79,79,98,77,96,76,83,53,84,88,82,75,92,60,44,43,85,93,77,79,30,33,52,68,80,69,39,72,58,47,55,64,44,68,64,48,74,88,98,86
Andre Drummond,'20 NBA,84,1,0,0,0,0,C,83,73,42,37,90,54,75,75,92,80,58,75,78,50,80,49,43,74,90,84,92,79,25,40,47,28,65,79,47,79,80,47,75,85,71,77,90,70,86,86,95,86
Jrue Holiday,'20 NBA,84,0,0,0,1,0,SG,76,82,77,69,90,71,84,79,25,34,54,34,25,66,75,73,77,62,43,84,80,75,73,80,74,70,74,28,85,84,93,85,81,72,57,51,90,84,35,46,95,86
Devin Booker,'20 NBA,84,0,0,0,1,0,SG,78,87,87,72,98,84,95,84,27,47,85,27,25,35,82,73,76,67,39,92,67,81,73,83,72,76,77,35,67,57,68,71,59,58,37,34,58,57,31,50,95,89
Al Horford,'20 NBA,83,1,0,0,0,0,C,82,87,87,77,96,79,77,71,77,58,57,84,84,83,81,50,45,66,87,90,82,70,30,47,72,67,85,87,60,89,93,64,67,85,39,75,96,87,54,68,95,86
Kyle Lowry,'20 NBA,83,0,0,0,0,1,PG,73,83,76,76,94,81,68,88,25,25,72,38,36,42,93,82,82,70,65,94,95,79,82,84,81,77,85,56,84,84,86,82,68,92,57,49,88,78,33,55,98,86
Chris Paul,'20 NBA,83,0,0,0,0,1,PG,72,77,84,71,90,79,68,78,25,25,48,68,33,48,83,73,73,68,55,81,68,74,73,83,81,79,81,54,84,75,92,83,88,78,84,38,89,83,28,54,95,92
Zach LaVine,'20 NBA,83,0,0,0,1,0,SG,77,68,70,79,96,81,96,90,58,88,87,36,42,56,93,82,82,95,42,96,83,80,79,84,77,69,80,47,63,62,67,69,43,70,39,48,65,48,33,55,98,87
Jayson Tatum,'20 NBA,83,0,0,1,0,0,SF,80,63,77,78,93,82,86,84,46,86,74,53,46,64,80,75,78,78,56,89,71,80,75,77,65,36,74,46,75,74,79,75,70,70,42,57,70,71,35,65,95,90
Eric Bledsoe,'20 NBA,83,0,0,0,0,1,PG,73,54,69,68,98,69,89,86,25,69,70,25,25,34,82,79,80,82,49,89,74,74,79,83,82,67,83,53,85,84,82,85,76,82,67,45,83,84,38,48,95,85
Khris Middleton,'20 NBA,83,0,0,1,0,0,SF,80,79,82,79,97,81,87,81,37,52,62,52,46,61,81,68,69,63,47,85,81,90,68,71,72,67,67,64,80,75,81,80,77,53,43,27,80,72,33,64,95,85
Tobias Harris,'20 NBA,83,0,1,0,0,0,PF,81,83,84,78,98,82,93,83,60,65,68,79,65,65,90,70,54,74,68,90,68,80,51,67,60,42,75,54,53,61,69,62,59,67,30,45,68,55,33,73,95,86
Clint Capela,'20 NBA,83,1,0,0,0,0,C,82,67,56,25,95,60,81,78,91,76,70,65,67,44,66,54,53,76,81,88,93,81,26,44,30,29,31,80,49,82,74,56,70,70,33,74,95,76,86,85,95,85
Trae Young,'20 NBA,83,0,0,0,0,1,PG,74,83,77,80,90,81,96,85,25,28,82,32,26,58,78,82,85,76,48,88,73,85,82,88,82,85,92,29,53,56,59,68,68,63,39,35,59,28,36,48,98,89
Kyle Kuzma,'20 NBA,82,0,1,0,0,0,PF,81,87,81,69,97,72,92,85,82,77,76,76,64,67,92,69,71,72,71,92,81,85,64,74,70,40,81,58,64,74,77,72,67,72,32,44,74,67,35,58,95,87
Jamal Murray,'20 NBA,82,0,0,0,0,1,PG,76,76,87,84,98,83,96,80,28,38,54,32,36,44,82,75,77,78,52,93,78,70,75,86,81,76,82,33,68,67,68,76,56,54,39,48,67,43,37,50,98,86
John Collins,'20 NBA,82,0,1,0,0,0,PF,82,69,67,72,90,70,89,76,89,84,66,63,71,69,79,65,59,79,60,82,90,80,44,51,31,36,60,68,43,68,64,51,32,74,26,51,70,54,80,75,95,86
Buddy Hield,'20 NBA,82,0,0,0,1,0,SG,76,68,83,88,97,87,96,83,25,28,75,46,26,43,92,73,76,76,39,88,58,85,72,81,73,42,68,46,67,52,68,72,58,72,35,49,72,48,43,54,98,86
Louis Williams,'20 NBA,82,0,0,0,1,0,SG,73,81,76,76,95,85,95,86,25,42,81,27,25,57,85,77,77,69,28,82,61,75,77,85,75,75,79,25,62,57,64,71,45,64,38,32,64,52,33,45,98,84
Julius Randle,'20 NBA,81,0,1,0,0,0,PF,81,81,71,74,97,69,94,84,81,76,85,75,75,56,91,69,72,65,83,91,91,85,64,68,51,58,70,63,49,65,69,63,48,71,34,52,71,56,58,76,95,83
Deandre Ayton,'20 NBA,81,1,0,0,0,0,C,85,87,73,57,97,72,77,76,87,72,61,72,72,66,79,72,62,79,79,87,73,85,52,57,50,35,67,75,46,75,72,58,66,82,38,63,78,62,77,84,95,92
Malcolm Brogdon,'20 NBA,81,0,0,0,0,1,PG,77,60,76,83,98,87,87,81,37,72,67,37,41,42,81,74,74,69,53,95,90,80,74,83,80,80,80,62,74,74,76,78,71,79,37,37,78,62,40,51,98,85
Montrezl Harrell,'20 NBA,81,1,0,0,0,0,C,80,81,77,37,98,61,95,81,92,82,87,78,76,73,79,59,54,72,91,87,95,80,29,32,32,44,52,77,44,81,68,49,61,74,43,77,84,72,68,64,95,83
Marvin Bagley III,'20 NBA,81,0,1,0,0,0,PF,83,83,77,71,90,66,82,77,82,82,67,72,79,72,74,70,71,83,62,87,77,97,61,59,44,28,57,63,46,59,66,54,57,76,34,69,70,37,74,75,95,87
Kevin Love,'20 NBA,81,0,1,0,0,0,PF,82,79,62,76,90,86,86,68,71,51,74,85,86,86,91,62,34,66,81,84,92,75,29,48,61,45,73,65,46,71,70,50,53,84,27,38,76,46,50,86,95,86
Jusuf Nurkic,'20 NBA,81,1,0,0,0,0,C,84,80,76,31,94,73,86,70,71,36,82,84,80,74,76,47,33,46,86,81,71,65,25,36,25,62,75,75,41,75,64,45,56,80,45,77,80,66,86,84,95,84
Danilo Gallinari,'20 NBA,81,0,1,0,0,0,PF,82,69,73,81,98,84,92,74,39,62,82,79,60,63,70,54,54,60,60,89,79,65,54,70,66,44,59,63,50,64,68,62,56,67,32,41,67,59,49,64,95,83
Lauri Markkanen,'20 NBA,81,0,1,0,0,0,PF,84,84,69,78,94,85,93,72,68,38,72,72,71,75,83,61,58,60,59,83,56,80,40,63,53,31,68,64,47,64,62,53,52,62,36,54,62,43,46,85,95,88
Bojan Bogdanovic,'20 NBA,81,0,0,1,0,0,SF,80,71,83,85,95,77,91,71,36,66,61,60,45,56,66,63,58,68,56,83,81,80,62,66,61,34,68,50,74,74,79,75,58,60,37,25,58,71,28,53,95,83
Paul Millsap,'20 NBA,80,0,1,0,0,0,PF,80,78,73,73,96,67,74,73,64,67,73,81,82,78,89,53,39,60,81,89,83,95,53,58,55,35,68,76,72,74,81,71,74,68,60,59,68,74,62,70,95,84
Marc Gasol,'20 NBA,80,1,0,0,0,0,C,85,87,76,77,90,73,67,68,82,55,47,85,86,81,91,35,25,35,87,92,81,75,29,41,62,68,71,82,57,81,88,60,71,94,46,69,96,77,39,83,95,86
Myles Turner,'20 NBA,80,1,0,0,0,0,C,83,86,81,79,98,72,83,68,68,41,74,71,76,81,92,54,30,67,72,93,92,84,30,33,29,33,66,85,50,85,76,57,52,79,40,88,94,83,49,79,98,85
Jaren Jackson Jr.,'20 NBA,80,0,1,0,0,0,PF,83,81,76,75,90,73,71,73,81,76,62,66,62,58,76,59,61,71,68,81,76,90,29,31,33,29,46,79,67,80,79,72,67,80,45,81,90,76,47,59,95,88
Steven Adams,'20 NBA,80,1,0,0,0,0,C,84,86,63,25,97,45,70,69,80,65,69,67,58,57,74,43,32,63,76,88,92,79,28,30,37,27,63,85,50,85,88,58,73,80,54,58,96,85,86,58,95,83
Marcus Smart,'20 NBA,80,0,0,0,1,0,SG,76,60,63,70,90,75,25,59,25,44,31,60,25,52,74,69,76,80,64,74,84,80,68,73,64,62,59,53,85,89,86,85,79,79,85,45,90,84,32,40,95,82
DeMarcus Cousins,'20 NBA,79,1,0,0,0,0,C,83,78,63,62,90,68,69,78,89,76,77,82,85,85,89,57,56,65,88,92,64,55,54,66,54,64,78,64,42,64,70,43,62,83,70,77,84,39,49,82,95,86
Serge Ibaka,'20 NBA,79,1,0,0,0,0,C,82,89,89,70,97,76,85,71,80,80,50,70,60,57,81,49,52,83,75,91,75,90,33,35,29,34,72,80,56,80,78,57,71,92,33,81,85,75,67,83,98,82
Aaron Gordon,'20 NBA,79,0,1,0,0,0,PF,81,63,68,74,97,69,80,76,91,86,70,68,54,56,91,67,63,88,68,91,86,85,62,58,51,60,56,74,75,71,65,70,64,64,34,53,64,66,46,67,95,83
Zion Williamson,'20 NBA,79,0,1,0,0,0,PF,79,71,53,62,90,55,51,76,86,82,61,61,55,50,76,77,77,90,74,81,76,80,65,64,56,56,60,64,55,67,71,67,61,80,61,67,80,51,66,60,95,96
Rudy Gay,'20 NBA,79,0,1,0,0,0,PF,80,84,86,80,90,78,61,81,51,76,56,81,64,71,72,69,73,77,61,90,75,78,67,74,66,54,52,64,57,62,70,72,47,76,38,52,76,31,39,80,95,81
Josh Richardson,'20 NBA,79,0,0,1,0,0,SF,78,71,77,75,97,82,91,74,46,81,60,28,26,44,81,76,79,68,53,76,81,80,75,74,65,62,64,45,81,81,84,83,78,53,39,47,88,81,32,43,95,83
Brandon Ingram,'20 NBA,79,0,0,1,0,0,SF,81,84,76,73,92,65,77,79,62,72,57,59,61,73,77,68,75,74,39,86,77,84,67,75,72,46,67,58,66,72,74,69,65,78,30,50,75,37,34,55,95,84
Gordon Hayward,'20 NBA,79,0,0,1,0,0,SF,80,86,83,73,90,79,61,75,36,71,46,54,36,61,87,76,73,71,59,76,82,75,73,73,71,63,75,52,69,69,73,72,54,70,42,47,80,61,35,61,95,85
Reggie Jackson,'20 NBA,79,0,0,0,0,1,PG,75,76,85,78,90,83,67,83,25,66,72,25,25,45,85,81,83,82,45,92,82,85,81,83,81,69,81,46,71,67,71,71,71,63,37,29,63,67,32,43,95,80
Otto Porter,'20 NBA,79,0,0,1,0,0,SF,80,86,75,80,90,77,76,76,41,66,48,54,61,63,80,64,63,69,56,89,76,75,62,75,66,37,83,59,69,62,70,72,60,69,66,52,69,41,37,64,95,81
Derrick Rose,'20 NBA,79,0,0,0,0,1,PG,75,72,86,78,98,83,87,84,25,32,52,52,52,52,82,83,83,86,47,87,89,51,83,85,79,70,81,47,64,63,68,70,61,79,35,39,79,37,34,42,95,81
Jonas Valanciunas,'20 NBA,79,1,0,0,0,0,C,84,86,80,67,90,76,76,55,76,61,72,76,79,60,91,58,42,50,85,79,76,78,29,31,32,41,61,71,39,79,64,44,50,70,31,78,82,56,74,86,95,81
Spencer Dinwiddie,'20 NBA,79,0,0,0,1,0,SG,78,78,79,78,98,79,93,82,33,43,67,40,38,46,83,77,77,64,28,88,54,70,77,84,83,70,86,40,72,66,70,76,57,68,35,40,68,58,30,41,70,81
Derrick Favors,'20 NBA,79,0,1,0,0,0,PF,82,81,72,45,90,61,43,76,88,73,53,75,77,65,68,58,48,69,78,77,73,82,34,43,33,28,72,68,56,63,77,55,38,71,36,76,76,58,82,72,95,81
Domantas Sabonis,'20 NBA,79,1,0,0,0,0,C,83,88,71,78,97,70,88,77,68,48,76,83,78,74,88,46,42,52,80,83,93,85,25,37,36,64,49,59,27,63,52,36,37,68,39,53,69,28,80,88,98,84
DeAndre Jordan,'20 NBA,79,1,0,0,0,0,C,83,76,25,25,90,65,34,51,91,85,60,55,42,34,84,59,47,77,88,86,89,95,27,25,25,37,60,79,51,79,83,56,54,86,31,64,93,74,77,85,95,82
T.J. Warren,'20 NBA,79,0,0,1,0,0,SF,80,77,72,76,95,78,81,84,46,46,83,58,58,64,64,57,57,59,71,87,66,84,56,68,61,30,61,50,58,61,64,64,58,59,49,53,59,46,33,50,95,81
Robert Covington,'20 NBA,79,0,0,1,0,0,SF,81,75,65,73,90,68,32,60,47,47,26,45,42,46,62,60,61,62,54,77,67,80,57,62,57,25,58,58,82,79,90,83,79,68,82,64,93,82,27,52,95,80
Enes Kanter,'20 NBA,79,1,0,0,0,0,C,83,69,69,68,90,76,87,80,82,55,66,85,82,80,82,59,25,57,85,83,92,83,30,47,37,42,61,49,25,36,41,25,42,70,33,49,74,27,87,84,95,80
Hassan Whiteside,'20 NBA,79,1,0,0,0,0,C,84,79,61,32,90,38,33,63,78,64,62,71,68,47,73,59,50,53,79,68,53,66,25,28,53,25,43,75,46,74,80,41,53,84,34,84,90,68,83,84,95,81
JJ Redick,'20 NBA,79,0,0,0,1,0,SG,76,69,89,89,96,89,95,74,25,25,65,25,25,50,80,61,65,63,27,88,80,75,49,70,70,49,70,35,68,63,69,65,62,70,32,40,70,45,29,42,95,80
Shai Gilgeous-Alexander,'20 NBA,78,0,0,0,1,0,SG,78,80,83,81,80,79,54,79,39,64,58,71,49,72,79,81,81,82,59,88,74,80,81,85,82,65,79,50,73,69,70,81,75,72,62,55,76,64,38,44,70,86
Thaddeus Young,'20 NBA,78,0,1,0,0,0,PF,80,87,50,76,97,62,78,77,53,77,63,66,81,74,78,70,61,81,68,86,83,85,48,65,34,43,63,76,67,76,79,68,78,68,71,50,68,68,66,60,95,79
Jaylen Brown,'20 NBA,78,0,0,0,1,0,SG,79,79,81,75,90,63,57,73,37,82,63,45,39,41,85,74,78,81,66,77,77,82,73,79,72,31,79,55,82,78,84,85,77,75,46,52,89,77,39,58,95,86
P.J. Tucker,'20 NBA,78,0,1,0,0,0,PF,78,72,81,79,92,67,67,57,47,57,51,56,56,55,78,60,60,63,82,85,93,94,41,62,67,26,66,81,84,71,86,84,72,78,67,48,78,77,45,59,95,79
Harrison Barnes,'20 NBA,78,0,0,1,0,0,SF,80,71,58,80,90,79,77,74,52,78,62,81,45,64,85,74,69,95,67,93,75,81,70,75,69,29,74,64,72,62,74,72,62,72,33,32,72,57,34,54,95,80
Bam Adebayo,'20 NBA,78,1,0,0,0,0,C,82,83,75,49,94,73,69,72,89,69,69,51,61,49,83,69,68,84,78,84,92,94,26,39,31,54,43,76,47,76,70,59,56,68,52,69,78,44,70,84,95,83
Andrew Wiggins,'20 NBA,78,0,0,1,0,0,SF,80,66,65,72,90,65,80,75,35,85,63,50,40,72,84,77,80,93,52,93,80,80,75,71,65,37,64,57,64,67,69,77,70,75,36,51,75,55,37,48,95,83
Gary Harris,'20 NBA,78,0,0,0,1,0,SG,76,66,73,76,94,79,79,81,39,49,64,46,27,50,82,69,74,77,52,79,84,81,69,75,74,41,69,37,81,79,82,84,71,58,45,49,84,84,37,43,95,83
Jarrett Allen,'20 NBA,78,1,0,0,0,0,C,83,75,53,38,90,70,74,73,84,74,65,65,65,59,84,74,71,78,77,85,79,80,34,34,25,33,47,81,40,82,64,52,66,72,36,81,88,79,72,84,95,81
Ja Morant,'20 NBA,78,0,0,0,0,1,PG,75,67,71,71,90,75,64,76,25,82,63,31,28,31,79,85,85,82,36,89,74,80,85,81,70,79,78,33,67,64,86,78,62,76,61,46,86,44,36,46,95,92
Goran Dragic,'20 NBA,78,0,0,0,0,1,PG,75,73,69,76,92,76,83,88,25,43,68,37,25,58,74,74,76,70,42,90,83,90,74,84,78,71,90,30,71,72,74,71,68,76,41,35,72,68,33,47,95,80
Terrence Ross,'20 NBA,78,0,0,0,1,0,SG,79,88,82,81,90,86,88,77,48,86,36,43,56,68,72,68,76,83,46,84,63,80,68,76,63,37,60,49,66,64,66,68,66,64,44,49,64,58,29,55,98,79
Patrick Beverley,'20 NBA,78,0,0,0,0,1,PG,73,73,41,81,90,75,47,67,25,27,35,27,27,32,82,73,80,88,57,87,73,71,72,75,72,64,74,67,87,86,90,87,60,77,40,53,86,92,41,60,95,79
Lonzo Ball,'20 NBA,78,0,0,0,0,1,PG,78,57,60,71,90,37,45,71,25,65,49,35,30,39,79,80,80,75,47,83,70,80,80,81,84,66,84,40,79,77,83,81,79,70,65,46,80,75,39,56,95,86
Fred VanVleet,'20 NBA,78,0,0,0,0,1,PG,72,72,72,81,93,83,84,79,25,34,58,27,29,31,84,78,73,69,41,84,69,80,78,85,83,70,89,26,82,78,79,83,79,57,45,46,57,74,30,45,95,82
Jeremy Lamb,'20 NBA,78,0,0,0,1,0,SG,77,75,88,76,90,87,83,73,38,77,63,46,26,49,72,67,73,80,48,78,68,81,66,72,73,42,76,43,67,63,71,72,60,58,54,49,58,48,38,68,95,79
Brook Lopez,'20 NBA,78,1,0,0,0,0,C,84,84,85,76,96,80,76,66,76,56,66,85,86,81,81,25,25,56,79,88,70,80,25,31,31,27,74,71,41,79,64,25,65,80,33,86,80,61,28,59,95,84
Joe Ingles,'20 NBA,78,0,0,1,0,0,SF,80,83,68,81,95,67,61,74,36,41,33,44,46,51,68,59,63,56,53,75,66,80,56,66,71,69,62,54,80,81,83,80,74,70,49,36,84,81,28,51,95,80
Mitchell Robinson,'20 NBA,78,1,0,0,0,0,C,85,65,66,30,90,58,43,67,83,78,47,48,53,50,53,46,25,81,58,78,93,80,25,38,42,27,52,80,47,85,72,63,63,85,51,88,95,78,88,72,95,88
JaVale McGee,'20 NBA,78,1,0,0,0,0,C,84,78,75,60,90,60,72,61,92,87,62,61,60,55,34,62,44,66,72,75,72,70,25,32,25,26,45,76,44,81,68,50,64,76,38,87,88,52,83,79,95,79
Tristan Thompson,'20 NBA,78,1,0,0,0,0,C,82,85,67,25,90,58,39,62,79,69,41,56,64,53,74,57,46,68,68,79,89,94,25,33,25,36,64,69,48,73,75,58,52,72,34,45,88,49,85,79,95,79
Larry Nance Jr.,'20 NBA,77,1,0,0,0,0,C,81,71,67,74,92,70,73,77,83,83,63,67,56,52,76,63,58,84,67,86,95,80,47,62,48,64,68,66,46,73,69,59,82,73,84,56,73,53,73,84,95,78
Wendell Carter Jr.,'20 NBA,77,1,0,0,0,0,C,82,83,73,55,90,79,69,73,79,60,69,74,78,78,74,67,54,67,77,84,84,80,46,49,55,40,69,78,46,82,66,49,69,85,37,81,88,69,65,79,95,86
Terry Rozier III,'20 NBA,77,0,0,0,0,1,PG,73,63,71,76,97,78,79,83,39,69,67,47,44,52,89,81,81,80,61,80,69,76,81,85,83,65,81,54,74,58,72,77,64,68,52,49,68,49,33,65,98,81
Jabari Parker,'20 NBA,77,0,1,0,0,0,PF,80,81,70,69,90,66,75,82,80,80,49,75,69,69,89,67,70,80,75,85,77,80,61,68,56,50,63,63,54,64,70,62,63,68,36,50,68,50,44,75,95,78
Caris LeVert,'20 NBA,77,0,0,0,1,0,SG,79,80,72,74,90,67,73,85,58,73,66,47,50,52,90,70,75,78,52,78,78,80,70,70,73,69,68,43,72,68,74,75,66,70,54,48,75,58,40,51,95,80
Justise Winslow,'20 NBA,77,0,0,1,0,0,SF,79,80,72,78,90,60,67,71,37,67,59,45,39,41,84,70,78,71,62,92,82,82,63,71,72,67,61,60,75,72,79,78,75,78,50,44,78,67,38,62,95,78
